,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.234,R6
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 601-700,$/mes,1604.3,R7
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por los Primeros 400 kWh/mes,$/kWh,5.139,R7
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.493,R7
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 601-700,$/mes,1583.22,R7
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por los Primeros 400 kWh/mes,$/kWh,5.572,R7
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.927,R7
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 701-1400,$/mes,2072.41,R8
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por los Primeros 400 kWh/mes,$/kWh,5.226,R8
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.581,R8
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 701-1400,$/mes,2044.33,R8
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por los Primeros 400 kWh/mes,$/kWh,5.563,R8
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.918,R8
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo +1400,$/mes,2685.19,R9
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por los Primeros 400 kWh/mes,$/kWh,5.319,R9
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable por el Excedente a los 400 kWh/mes,$/kWh,7.673,R9
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo +1400,$/mes,2782.56,R9
