,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 0-150,$/mes,62.24,Tarifa 1 -R1
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 0-150,$/kWh,4.472,Tarifa 1 -R1
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 0-150,$/mes,61.44,Tarifa 1 -R1
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 0-150,$/kWh,4.476,Tarifa 1 -R1
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 151-325,$/mes,122.82,Tarifa 1 -R2
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 151-325,$/kWh,4.501,Tarifa 1 -R2
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 151-325,$/mes,118.74,Tarifa 1 -R2
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 151-325,$/kWh,4.492,Tarifa 1 -R2
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 326-400,$/mes,199.95,Tarifa 1 -R3
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 326-400,$/kWh,4.588,Tarifa 1 -R3
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 326-400,$/mes,192.29,Tarifa 1 -R3
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 326-400,$/kWh,4.575,Tarifa 1 -R3
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 401-450,$/mes,227.61,Tarifa 1 -R4
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 401-450,$/kWh,4.736,Tarifa 1 -R4
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 401-450,$/mes,218.51,Tarifa 1 -R4
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 401-450,$/kWh,4.72,Tarifa 1 -R4
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 451-500,$/mes,330.34,Tarifa 1 -R5
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 451-500,$/kWh,4.851,Tarifa 1 -R5
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 451-500,$/mes,318.11,Tarifa 1 -R5
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 451-500,$/kWh,4.836,Tarifa 1 -R5
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 501-600,$/mes,622.72,Tarifa 1 -R6
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 501-600,$/kWh,4.898,Tarifa 1 -R6
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 501-600,$/mes,597.55,Tarifa 1 -R6
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 501-600,$/kWh,4.879,Tarifa 1 -R6
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 601-700,$/mes,1604.3,Tarifa 1 -R7
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 601-700,$/kWh,5.139,Tarifa 1 -R7
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 601-700,$/mes,1583.22,Tarifa 1 -R7
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 601-700,$/kWh,5.572,Tarifa 1 -R7
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 701-1400,$/mes,2072.41,Tarifa 1 -R8
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 701-1400,$/kWh,5.226,Tarifa 1 -R8
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo 701-1400,$/mes,2044.33,Tarifa 1 -R8
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable 701-1400,$/kWh,5.563,Tarifa 1 -R8
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo +1400,$/mes,2685.19,Tarifa 1 -R9
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Variable + 1400,$/kWh,5.319,Tarifa 1 -R9
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/6831EEB39C0A5E2F032586CB006834CA?opendocument,2022-08-01,2022-08-31,ARS,Cargo Fijo +1400,$/mes,2782.56,Tarifa 1 -R9
