,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2218",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2132",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2045",$/kWh
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2220",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2133",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2047",$/kWh
