,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,8279",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,7245",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,6211",$/kWh
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"9,1964",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"9,1925",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"9,1870",$/kWh
