,Tarifa 3 Grandes Demandas GUDIS - BT  >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 3 Grandes Demandas GUDIS - MT >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 3 Grandes Demandas GUDIS - AT >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle,$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh
$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh
$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh,"821,71
394,17
13,7514
13,7471
13,7412
662,75
293,13
12,4337
12,4301
12,4248
381,28
74,17
11,8431
11,8380
11,8329"
0,Tarifas otros prestadores
Tarifa 3 - BT  Otros prestadores (Grandes Demandas GUDIS >= 300 kW)
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 3 - MT  Otros prestadores (Grandes Demandas GUDIS >= 300 kW)
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 3 - AT  Otros prestadores (Grandes Demandas GUDIS >= 300 kW)
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle,$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh
$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh
$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh,"821,71
394,17
13,6350
13,6290
13,6231
662,75
293,13
12,3173
12,3120
12,3067
381,28
74,17
11,8431
11,8380
11,8329"
1,Tarifas Servicio de Peaje
Tarifa 5 - Grandes demandas GUDIS - BT  >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 5 - Grandes demandas  GUDIS - MT  >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle
Tarifa 5 - Grandes demandas  GUDIS - AT  >= 300 kW
Cargo Pot. Pico
Cargo Pot. F. Pico
Cargo Variable Pico
Cargo Variable Resto
Cargo Variable Valle,$/MW-mes
$/MW-mes
$/MWh
$/MWh
$/MWh
$/MW-mes
$/MW-mes
$/MWh
$/MWh
$/MWh
$/kW-mes
$/kW-mes
$/kWh
$/kWh
$/kWh,"539.325,45
394.168,59
2.114,38
2.113,46
2.112,55
380.356,52
293.131,66
796,77
796,43
796,08
98.896,47
74.170,77
322,58
322,44
322,30"
