,Cargo Variable +700,$/kWh,"3,8207"
0,ncial,,
1,Cargo Fijo 0-325,$/mes,"460,60"
2,Cargo Variable 0-325,$/kWh,"4,0787"
3,Cargo Fijo 326-500,$/mes,"786,21"
4,Cargo Variable 326-500,$/kWh,"4,2670"
