,Cargo Variable +700,$/kWh,"9,9294"
0,ncial,,
1,Cargo Fijo 0-325,$/mes,"611,12"
2,Cargo Variable 0-325,$/kWh,"9,5305"
3,Cargo Fijo 326-500,$/mes,"878,01"
4,Cargo Variable 326-500,$/kWh,"9,6849"
