,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,5826",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4430",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3023",$/kWh
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7783",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6391",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4982",$/kWh
