,Cargo Variable Pico,$/kWh,"8,6802"
0,Cargo Variable Resto,$/kWh,"8,6751"
1,Cargo Variable Valle,$/kWh,"8,6700"
2,l,,
3,Cargo Fijo 0-325,$/mes,"389,84"
4,Cargo Variable 0-325,$/kWh,"2,5833"
5,Cargo Fijo 326-500,$/mes,"656,74"
6,Cargo Variable 326-500,$/kWh,"2,7376"
7,Cargo Fijo 501-700,$/mes,"1.188,85"
8,Cargo Variable 501-700,$/kWh,"2,9513"
9,Cargo Fijo +700,$/mes,"1.670,23"
